id,smoker_pred,smoker_prob
159256,1,0.5356263
159257,0,0.28814924
159258,0,0.4060263
159259,0,0.018319834
159260,1,0.6244207
159261,1,0.88899666
159262,0,0.3941981
159263,0,0.06585407
159264,0,0.08441969
159265,0,0.021377744
159266,1,0.62674075
159267,0,0.16926019
159268,0,0.0037582319
159269,0,0.16750336
159270,0,0.00634617
159271,1,0.5976278
159272,1,0.77835906
159273,1,0.74445164
159274,0,0.07800574
159275,0,0.42386112
159276,0,0.3983002
159277,1,0.8810491
159278,1,0.638059
159279,1,0.6861098
159280,0,0.10397168
159281,1,0.78214955
159282,1,0.7936952
159283,1,0.6606281
159284,1,0.6730298
159285,0,0.0023860482
159286,1,0.67869747
159287,0,0.005662729
159288,0,0.26490575
159289,1,0.65789425
159290,1,0.5858247
159291,0,0.44891438
159292,0,0.035736673
159293,0,0.124098554
159294,0,0.23149975
159295,1,0.64676696
159296,1,0.84880954
159297,0,0.0033613099
159298,0,0.25718322
159299,0,0.0008496354
159300,0,0.012587474
159301,0,0.01746457
159302,0,0.06908505
159303,0,0.19870865
159304,0,0.26985294
159305,1,0.69851416
159306,1,0.6822396
159307,0,0.16307178
159308,0,0.39034903
159309,0,0.12738347
159310,0,0.43517938
159311,1,0.55733776
159312,0,0.28327346
159313,1,0.5236299
159314,1,0.64438605
159315,1,0.62418133
159316,0,0.009980535
159317,1,0.6501254
159318,0,0.3748656
159319,1,0.617799
159320,1,0.749107
159321,0,0.060856365
159322,1,0.65215963
159323,1,0.6532716
159324,0,0.16838075
159325,0,0.42387837
159326,1,0.642356
159327,1,0.69277465
159328,1,0.59401226
159329,0,0.4596763
159330,0,0.015661951
159331,1,0.7593884
159332,0,0.0073471204
159333,0,0.0007160348
159334,0,0.21904227
159335,0,0.12889904
159336,0,0.38672456
159337,1,0.87699264
159338,0,0.4139725
159339,1,0.896595
159340,1,0.5450963
159341,1,0.79355943
159342,1,0.8319829
159343,0,0.4306337
159344,0,0.35585314
159345,0,0.002183728
159346,1,0.6601829
159347,1,0.5836393
159348,1,0.7528655
159349,0,0.0054488326
159350,0,0.00976328
159351,1,0.7791911
159352,0,0.33799112
159353,0,0.45989597
159354,0,0.014536611
159355,1,0.7778103
159356,1,0.78147477
159357,1,0.89945024
159358,0,0.3167652
159359,0,0.48101187
159360,0,0.058090854
159361,1,0.83156306
159362,0,0.01773071
159363,1,0.6720273
159364,1,0.78104264
159365,1,0.72111434
159366,0,0.00850562
159367,0,0.40476236
159368,1,0.51130736
159369,1,0.5923589
159370,0,0.42857224
159371,1,0.500394
159372,0,0.050150316
159373,1,0.77226824
159374,1,0.5490887
159375,1,0.89290124
159376,1,0.748772
159377,0,0.0010140676
159378,1,0.818314
159379,0,0.3237866
159380,0,0.06984669
159381,0,0.017469637
159382,0,0.49509996
159383,0,0.011864502
159384,1,0.5332134
159385,0,0.021218594
159386,1,0.53138274
159387,1,0.8850761
159388,1,0.6558429
159389,0,0.002260588
159390,1,0.73455477
159391,0,0.45744094
159392,1,0.76513535
159393,0,0.019756632
159394,0,0.2756726
159395,1,0.8744432
159396,1,0.7477868
159397,1,0.56965744
159398,1,0.71475065
159399,1,0.81339574
159400,1,0.6174245
159401,1,0.75599426
159402,0,0.014131744
159403,0,0.05679686
159404,1,0.8631276
159405,0,0.007752279
159406,0,0.19893043
159407,0,0.019059436
159408,0,0.015537089
159409,1,0.8341846
159410,1,0.5564685
159411,1,0.96131724
159412,1,0.7926806
159413,1,0.7390396
159414,0,0.07640291
159415,0,0.45120084
159416,0,0.3547552
159417,0,0.4109875
159418,1,0.6164399
159419,0,0.03711476
159420,1,0.75253433
159421,1,0.6174231
159422,0,0.11332557
159423,0,0.006935255
159424,0,0.006574089
159425,0,0.45295686
159426,0,0.11629818
159427,0,0.1004233
159428,0,0.001525182
159429,0,0.2029659
159430,0,0.011399214
159431,1,0.7896568
159432,0,0.00957999
159433,0,0.14164832
159434,0,0.23183538
159435,0,0.37044293
159436,1,0.72738224
159437,0,0.029644636
159438,1,0.64961785
159439,0,0.1927239
159440,0,0.03989238
159441,1,0.8834365
159442,0,0.11927469
159443,0,0.010164724
159444,0,0.046900753
159445,1,0.64534134
159446,1,0.89489317
159447,1,0.54033804
159448,1,0.8001621
159449,0,0.4032838
159450,0,0.0010933862
159451,1,0.8564649
159452,1,0.5625745
159453,0,0.10012212
159454,1,0.67745984
159455,1,0.7793553
159456,0,0.0011778022
159457,1,0.54990965
159458,1,0.70541894
159459,1,0.53118277
159460,0,0.085441574
159461,1,0.61501604
